"","Name","Rating","latitude","longitude","price","review_count","categories"
"63","L’Ardoise Bistro",4.5,37.7665241,-122.4331385,"$$$",1201,"French Wine Bars Desserts"
"64","Lolinda",4,37.7566414790839,-122.41907298565,"$$$",1775,"Steakhouses Tapas/Small Plates Latin American"
"65","Pearl's Deluxe Burgers",4,37.787823,-122.413699,"$$",2077,"Burgers"
"66","Zanze's Cheesecake",4.5,37.72994,-122.46984,"$$",894,"Bakeries Desserts"
"67","Scoma's Restaurant",4,37.808944,-122.418462,"$$$",3310,"Seafood Italian Lounges"
"68","Genki Crepes & Mini-Mart",4,37.78326,-122.46283,"$",2153,"Desserts Creperies"
"69","Frances",4.5,37.7627220154927,-122.432276324008,"$$$",1450,"American (New) Desserts Wine Bars"
"70","Tacorea",4.5,37.7897794,-122.410717,"$",1277,"Mexican Korean Latin American"
"71","Rosamunde Sausage Grill - San Francisco",4.5,37.77183,-122.43114,"$",1575,"Hot Dogs German Beer Bar"
"72","Bourbon & Branch",4,37.78592,-122.41336,"$$$",2941,"Cocktail Bars Venues & Event Spaces Speakeasies"
"73","Good Mong Kok Bakery",4,37.7954584839809,-122.408358365012,"$",2243,"Bakeries Dim Sum Cantonese"
"74","Bar Crudo",4,37.7756673618778,-122.438271045685,"$$$",1799,"Seafood Live/Raw Food"
"75","Zero Zero",4,37.78163,-122.40204,"$$",3085,"Pizza Italian Cocktail Bars"
"76","Marlowe",4,37.7783200510611,-122.396771288052,"$$",2556,"American (New) Brasseries"
"77","Pizzeria Delfina - San Francisco",4,37.7614143,-122.4242316,"$$",2238,"Pizza Italian Bars"
"78","Smitten Ice Cream",4,37.7763565191203,-122.424203597963,"$",2356,"Ice Cream & Frozen Yogurt"
"79","La Folie",4.5,37.798136,-122.422036,"$$$$",1420,"French Wine Bars"
"80","Garden Creamery",4.5,37.7587301270631,-122.420380041003,"$",642,"Ice Cream & Frozen Yogurt"
"81","Boulevard",4,37.79337,-122.39274,"$$$$",2560,"American (New)"
"82","Super Duper Burgers",4,37.7868540659939,-122.403968274593,"$$",2586,"Burgers American (Traditional)"
"83","Philz Coffee",4.5,37.7601254,-122.4348964,"$",1034,"Coffee & Tea"
"84","Benkyodo Co",4.5,37.7858539,-122.4299909,"$",905,"Bakeries Candy Stores"
"85","Cha Cha Cha",4,37.7691434,-122.4520399,"$$",3120,"Caribbean Cuban Tapas Bars"
"86","La Mar Cebichería Peruana",4,37.7974182368553,-122.395129846558,"$$$",3423,"Seafood Peruvian"
"87","Mandalay",4,37.7851484,-122.4643918,"$$",2046,"Burmese"
"88","È Tutto Qua",4,37.7977599,-122.40625,"$$",1980,"Italian Seafood Pizza"
"89","Four Barrel Coffee",4,37.7670169511878,-122.42184275,"$",2028,"Coffee & Tea"
"90","Woodhouse Fish Company",4,37.78742,-122.43327,"$$",2084,"Seafood American (New)"
"91","Little Star Pizza",4,37.7662598870271,-122.422120973633,"$$",1963,"Pizza"
"92","Lers Ros",4,37.784703,-122.417566,"$$",2095,"Thai Wine Bars"
"93","Thanh Long",4,37.76017,-122.50609,"$$$",2407,"Seafood Vietnamese"
"94","Belly Good Cafe & Crepes",4.5,37.785354,-122.4303915,"$",1231,"Ice Cream & Frozen Yogurt Creperies Bubble Tea"
"95","The Slanted Door",3.5,37.7961824442073,-122.39369675517,"$$$",5406,"Vietnamese Asian Fusion Bars"
"96","Don Pisto's",4,37.80078,-122.40784,"$$",1719,"Mexican"
"97","Chantal Guillon Macarons",4.5,37.7766722798208,-122.423619580357,"$$",994,"Desserts Coffee & Tea Macarons"
"98","Farmhouse Kitchen Thai Cuisine",4,37.7602179,-122.4110749,"$$",1592,"Thai Comfort Food"
"99","Garaje",4.5,37.781752952057,-122.396121970462,"$$",1422,"Mexican Burgers Gastropubs"
"100","Italian Homemade Company",4.5,37.801752,-122.411851,"$$",1190,"Grocery Italian"
"101","Isa Restaurant",4,37.8001099,-122.43749,"$$$",1948,"French Venues & Event Spaces"
"102","R&G Lounge",3.5,37.7941240989441,-122.404937406342,"$$",4151,"Chinese Seafood Soup"
"103","The Buena Vista",4,37.806509097529,-122.42072219051,"$$",2340,"Bars Cafes Breakfast & Brunch"
"104","The Chairman Truck",4,37.78404,-122.4175,"$",1408,"Food Trucks Taiwanese"
"105","PPQ Dungeness Island",4,37.78233,-122.484454,"$$",2868,"Seafood Vietnamese Asian Fusion"
"106","Urban Putt",4.5,37.7557019908942,-122.416826814485,"$$",1218,"Mini Golf American (New) Bars"
"107","Roxie Food Center",4.5,37.7267302,-122.4414182,"$",943,"Grocery Sandwiches"
"108","Roli Roti Gourmet Rotisserie",4.5,37.795398235987,-122.392534017563,"$",1382,"Sandwiches Food Trucks Specialty Food"
"109","Neighbor Bakehouse",4.5,37.759631,-122.388171,"$$",634,"Bakeries"
"110","Home",4.5,37.7544539255473,-122.477013878524,"$",927,"Coffee & Tea"
"111","Deli Board",4.5,37.7776247966103,-122.407012712007,"$$",1184,"Delis Sandwiches"
"112","KUSAKABE",4.5,37.7957017702111,-122.402884835582,"$$$$",773,"Sushi Bars Japanese"
"113","Golden Bear Trading Company",4.5,37.7621609,-122.463128,"$",937,"Grocery Coffee & Tea"
"114","Submarine Center",4.5,37.7409,-122.46532,"$",1118,"Sandwiches Pizza"
"115","Taqueria Cancún",4,37.76047,-122.41951,"$",1952,"Mexican"
"116","Delfina",4,37.76131,-122.42431,"$$$",1989,"Italian Wine Bars"
"117","Tommy's Joynt",4,37.785547,-122.421814,"$",2725,"American (Traditional) Bars Salad"
"118","Spruce",4,37.787621,-122.452734,"$$$$",1801,"American (Traditional)"
"119","Devil's Teeth Baking Company",4.5,37.753182446703,-122.505007542328,"$",1451,"Bakeries"
"120","Lovejoy's Tea Room",4.5,37.74919,-122.42689,"$$",1131,"British Tea Rooms"
"121","Boba Guys",4,37.7899434017563,-122.407306303981,"$",1691,"Coffee & Tea Bubble Tea Desserts"
"122","Harris' Restaurant",4,37.79508,-122.42287,"$$$$",1744,"Steakhouses"
"123","Gracias Madre",4,37.761606,-122.419241,"$$",2955,"Vegan Mexican Breakfast & Brunch"
"124","Holy Gelato!",4.5,37.7624176,-122.4660266,"$",1015,"Ice Cream & Frozen Yogurt Gelato Coffee & Tea"
"125","The Front Porch",4,37.74372,-122.42197,"$$",2602,"Southern Cajun/Creole"
"126","DOSA on Fillmore",4,37.78535,-122.43284,"$$$",2821,"Indian"
"127","Limoncello",5,37.7873184067081,-122.423591369312,"$$",521,"Sandwiches Delis Beer, Wine & Spirits"
"128","Alexander's Steakhouse",4,37.7793,-122.39568,"$$$$",1591,"Steakhouses Seafood American (New)"
"129","Craftsman and Wolves",4,37.7609695,-122.4218206,"$$",1423,"Bakeries Cafes Patisserie/Cake Shop"
"130","Hard Knox Cafe",4,37.7575200814767,-122.388580106199,"$$",2056,"Soul Food Southern Sandwiches"
"131","Nick's Crispy Tacos",4,37.79607,-122.42196,"$",3181,"Mexican Sports Bars"
"132","The Ice Cream Bar",4,37.76643,-122.45033,"$$",1269,"Ice Cream & Frozen Yogurt Beer, Wine & Spirits American (Traditional)"
"133","Mensho Tokyo",4,37.7866908459856,-122.414326295257,"$$",1751,"Ramen Noodles"
"134","Hot Sauce and Panko",4.5,37.7945165216685,-122.417876198887,"$",1015,"Chicken Wings Specialty Food"
"135","Señor Sisig",4,37.79059,-122.40306,"$",1437,"Filipino Food Trucks Asian Fusion"
